yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx
187603,4.51,0.3,0.34,NaN,NaN,NaN,NaN,NaN,NaN,3.5727328386899299E-3,NaN,NaN,NaN,NaN,NaN,NaN
187604,4.34,0.3,0.33329999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.6170086676718402E-3,NaN,NaN,NaN,NaN,NaN,NaN
187605,4.18,0.3,0.32669999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
187606,4.1500000000000004,0.3,0.32,NaN,NaN,NaN,NaN,NaN,NaN,3.366112303441015E-3,NaN,NaN,NaN,NaN,NaN,NaN
187607,4.0999999999999996,0.3,0.31330000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.1447331585314625E-3,NaN,NaN,NaN,NaN,NaN,NaN
187608,3.93,0.3,0.30669999999999997,NaN,NaN,NaN,NaN,NaN,NaN,2.4510785044815323E-3,NaN,NaN,NaN,NaN,NaN,NaN
187609,3.69,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,2.2961131030448455E-3,NaN,NaN,NaN,NaN,NaN,NaN
187610,3.67,0.3,0.29330000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.1447331585314625E-3,NaN,NaN,NaN,NaN,NaN,NaN
187611,3.6,0.3,0.28670000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.823629202920756E-3,NaN,NaN,NaN,NaN,NaN,NaN
187612,3.58,0.3,0.28000000000000003,NaN,NaN,NaN,NaN,NaN,NaN,3.6539051918234328E-3,NaN,NaN,NaN,NaN,NaN,NaN
187701,3.55,0.2908,0.28170000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.9785946043574419E-3,NaN,NaN,NaN,NaN,NaN,NaN
187702,3.34,0.28170000000000001,0.2833,NaN,NaN,NaN,NaN,NaN,NaN,3.7350775449569353E-3,NaN,NaN,NaN,NaN,NaN,NaN
187703,3.17,0.27250000000000002,0.28499999999999998,NaN,NaN,NaN,NaN,NaN,NaN,2.9602505377735022E-3,NaN,NaN,NaN,NaN,NaN,NaN
187704,2.94,0.26329999999999998,0.28670000000000001,NaN,NaN,NaN,NaN,NaN,NaN,2.9159747087915923E-3,NaN,NaN,NaN,NaN,NaN,NaN
187705,2.94,0.25419999999999998,0.2883,NaN,NaN,NaN,NaN,NaN,NaN,2.8716988798096815E-3,NaN,NaN,NaN,NaN,NaN,NaN
187706,2.73,0.245,0.28999999999999998,NaN,NaN,NaN,NaN,NaN,NaN,2.5912852962575819E-3,NaN,NaN,NaN,NaN,NaN,NaN
187707,2.85,0.23580000000000001,0.29170000000000001,NaN,NaN,NaN,NaN,NaN,NaN,2.6355611252394922E-3,NaN,NaN,NaN,NaN,NaN,NaN
187708,3.05,0.22670000000000001,0.29330000000000001,NaN,NaN,NaN,NaN,NaN,NaN,2.6945955638820397E-3,NaN,NaN,NaN,NaN,NaN,NaN
187709,3.24,0.2175,0.29499999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.8014912884298006E-3,NaN,NaN,NaN,NaN,NaN,NaN
187710,3.31,0.20830000000000001,0.29670000000000002,NaN,NaN,NaN,NaN,NaN,NaN,4.3475598458733626E-3,NaN,NaN,NaN,NaN,NaN,NaN
187711,3.26,0.19919999999999999,0.29830000000000001,NaN,NaN,NaN,NaN,NaN,NaN,4.9895593661110644E-3,NaN,NaN,NaN,NaN,NaN,NaN
187712,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,4.2073530540973139E-3,NaN,NaN,NaN,NaN,NaN,NaN
187801,3.25,0.18920000000000001,0.30080000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.7867326787691638E-3,NaN,NaN,NaN,NaN,NaN,NaN
187802,3.18,0.1883,0.30170000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.9564566898664865E-3,NaN,NaN,NaN,NaN,NaN,NaN
187803,3.24,0.1875,0.30249999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.5579742290292936E-3,NaN,NaN,NaN,NaN,NaN,NaN
187804,3.33,0.1867,0.30330000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.4177674372532435E-3,NaN,NaN,NaN,NaN,NaN,NaN
187805,3.34,0.18579999999999999,0.30420000000000003,NaN,NaN,NaN,NaN,NaN,NaN,3.5948707531808853E-3,NaN,NaN,NaN,NaN,NaN,NaN
187806,3.41,0.185,0.30499999999999999,NaN,NaN,NaN,NaN,NaN,NaN,2.982388452264458E-3,NaN,NaN,NaN,NaN,NaN,NaN
187807,3.48,0.1842,0.30580000000000002,NaN,NaN,NaN,NaN,NaN,NaN,2.4510785044815323E-3,NaN,NaN,NaN,NaN,NaN,NaN
187808,3.45,0.18329999999999999,0.30669999999999997,NaN,NaN,NaN,NaN,NaN,NaN,2.2961131030448455E-3,NaN,NaN,NaN,NaN,NaN,NaN
187809,3.52,0.1825,0.3075,NaN,NaN,NaN,NaN,NaN,NaN,2.4510785044815323E-3,NaN,NaN,NaN,NaN,NaN,NaN
187810,3.48,0.1817,0.30830000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.0488021957373237E-3,NaN,NaN,NaN,NaN,NaN,NaN
187811,3.47,0.18079999999999999,0.30919999999999997,NaN,NaN,NaN,NaN,NaN,NaN,3.661284496653751E-3,NaN,NaN,NaN,NaN,NaN,NaN
187812,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,3.4177674372532435E-3,NaN,NaN,NaN,NaN,NaN,NaN
187901,3.58,0.1817,0.31580000000000003,NaN,NaN,NaN,NaN,NaN,NaN,3.3734916082713328E-3,NaN,NaN,NaN,NaN,NaN,NaN
187902,3.71,0.18329999999999999,0.32169999999999999,NaN,NaN,NaN,NaN,NaN,NaN,2.8348023556580898E-3,NaN,NaN,NaN,NaN,NaN,NaN
187903,3.65,0.185,0.32750000000000001,NaN,NaN,NaN,NaN,NaN,NaN,2.4510785044815323E-3,NaN,NaN,NaN,NaN,NaN,NaN
187904,3.77,0.1867,0.33329999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.3734916082713328E-3,NaN,NaN,NaN,NaN,NaN,NaN
187905,3.94,0.1883,0.3392,NaN,NaN,NaN,NaN,NaN,NaN,3.661284496653751E-3,NaN,NaN,NaN,NaN,NaN,NaN
187906,3.96,0.19,0.34499999999999997,NaN,NaN,NaN,NaN,NaN,NaN,2.9159747087915923E-3,NaN,NaN,NaN,NaN,NaN,NaN
187907,4.04,0.19170000000000001,0.3508,NaN,NaN,NaN,NaN,NaN,NaN,2.7757679170155422E-3,NaN,NaN,NaN,NaN,NaN,NaN
187908,4.07,0.1933,0.35670000000000002,NaN,NaN,NaN,NaN,NaN,NaN,2.517492247954398E-3,NaN,NaN,NaN,NaN,NaN,NaN
187909,4.22,0.19500000000000001,0.36249999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.7424568497872531E-3,NaN,NaN,NaN,NaN,NaN,NaN
187910,4.68,0.19670000000000001,0.36830000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.9048015560542589E-3,NaN,NaN,NaN,NaN,NaN,NaN
187911,4.93,0.1983,0.37419999999999998,NaN,NaN,NaN,NaN,NaN,NaN,4.0228704333393536E-3,NaN,NaN,NaN,NaN,NaN,NaN
187912,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
188001,5.1100000000000003,0.20499999999999999,0.38919999999999999,NaN,NaN,NaN,NaN,NaN,NaN,4.0302497381696717E-3,NaN,NaN,NaN,NaN,NaN,NaN
188002,5.2,0.21,0.39829999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.6096293628415221E-3,NaN,NaN,NaN,NaN,NaN,NaN
188003,5.3,0.215,0.40749999999999997,NaN,NaN,NaN,NaN,NaN,NaN,3.5579742290292936E-3,NaN,NaN,NaN,NaN,NaN,NaN
188004,5.18,0.22,0.41670000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188005,4.7699999999999996,0.22500000000000001,0.42580000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188006,4.79,0.23,0.435,NaN,NaN,NaN,NaN,NaN,NaN,3.4694225710654725E-3,NaN,NaN,NaN,NaN,NaN,NaN
188007,5.01,0.23499999999999999,0.44419999999999998,NaN,NaN,NaN,NaN,NaN,NaN,2.9971470619250939E-3,NaN,NaN,NaN,NaN,NaN,NaN
188008,5.19,0.24,0.45329999999999998,NaN,NaN,NaN,NaN,NaN,NaN,2.9159747087915923E-3,NaN,NaN,NaN,NaN,NaN,NaN
188009,5.18,0.245,0.46250000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.3513536937803783E-3,NaN,NaN,NaN,NaN,NaN,NaN
188010,5.33,0.25,0.47170000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.5136984000473824E-3,NaN,NaN,NaN,NaN,NaN,NaN
188011,5.61,0.255,0.48080000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.4177674372532435E-3,NaN,NaN,NaN,NaN,NaN,NaN
