date,inv,inc,gdp,cpi,int,def,ind,mog,res,une,hpi
1993-01-01,4,2.3,2.9,140.03333333333333,3.04,68.313,66.7291,7.723333333333334,23.850666666666665,7.133333333333333,174.55
1993-04-01,4.1,1.6,4.8,141,3,68.719,66.8801,7.453076923076923,26.456333333333333,7.066666666666666,176.21
1993-07-01,4.2,1.2,4.4,141.6,3.06,69.128,67.14413333333333,7.087692307692308,26.788,6.8,177.63
1993-10-01,4.4,1.5,7.9,142.8,2.99,69.505,68.1642,7.046428571428572,28.885,6.633333333333333,179.09
1994-01-01,4.4,1.8,5.9,143.33333333333334,3.2133333333333334,69.837,69.00573333333334,7.295833333333333,27.366333333333333,6.566666666666666,180.23
1994-04-01,4.5,2.5,7.6,144.1,3.94,70.174,70.25776666666667,8.427692307692308,27.63233333333333,6.2,181.33
1994-07-01,4.5,3,4.7,145.5,4.486666666666666,70.577,71.15626666666667,8.594285714285714,25.485333333333333,6,182.07
1994-10-01,4.4,3.7,7,146.23333333333332,5.166666666666667,70.96,72.6339,9.105384615384615,24.706666666666667,5.633333333333333,181.91
1995-01-01,4.3,3.9,3.6,147.33333333333334,5.81,71.344,73.37903333333334,8.785384615384615,22.212,5.466666666666667,182.88
1995-04-01,4.1,3.2,3.2,148.43333333333334,6.02,71.687,73.60923333333334,7.917692307692308,22.24,5.666666666666667,185.87
1995-07-01,4.2,3.5,5.5,149.03333333333333,5.796666666666667,72.04,74.28616666666667,7.696153846153846,20.631666666666668,5.666666666666667,188.73
1995-10-01,4.3,2.7,4.7,149.7,5.72,72.387,74.9206,7.3392307692307694,20.183,5.566666666666666,190.21
1996-01-01,4.4,2.8,5,151.03333333333333,5.363333333333333,72.736,75.4299,7.272307692307693,17.717,5.533333333333333,192.35
1996-04-01,4.5,3.4,8.6,152.43333333333334,5.243333333333333,73.037,77.04803333333334,8.102307692307692,17.559333333333335,5.5,192.69
1996-07-01,4.5,3.3,5,153.13333333333333,5.306666666666667,73.276,78.04206666666667,8.146923076923077,14.652666666666667,5.266666666666667,193.55
1996-10-01,4.4,3.2,6.5,154.6,5.28,73.668,79.13863333333333,7.703076923076923,13.002333333333333,5.333333333333333,195.06
1997-01-01,4.4,3.3,5.1,155.43333333333334,5.276666666666666,74.107,80.6481,7.7930769230769235,11.532,5.233333333333333,196.68
1997-04-01,4.4,3.2,7.7,155.53333333333333,5.523333333333333,74.257,81.8082,7.926923076923077,11.142,5,198.33
1997-07-01,4.4,3.6,6.9,156.06666666666666,5.533333333333333,74.579,83.6767,7.47,10.036,4.866666666666667,201.06
1997-10-01,4.4,4.6,4.8,156.73333333333332,5.506666666666667,74.824,85.78266666666667,7.205384615384616,10.408333333333333,4.666666666666667,203.66
1998-01-01,4.5,5.8,4.7,156.63333333333333,5.52,74.933,86.74366666666667,7.05,9.818,4.633333333333333,206.7
1998-04-01,4.6,6.3,4.7,156.9,5.5,75.11,87.3234,7.0976923076923075,10.215666666666667,4.4,208.57
1998-07-01,4.7,6.1,6.9,157.46666666666667,5.533333333333333,75.433,87.97473333333333,6.872307692307692,9.543,4.533333333333333,211.47
